1,0,"Poslovni cilj definiran od Uprave, odobren od Nadzornog Odbora.",Company cilj,2020-12-31,1,2020-09-17 12:22:09.307000,
42,1,keeping on a high level cash recovery in total recovered amount *,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.900000,admin
43,1,sve Akcije u closing queue - 5 radnih dana,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.903000,admin
44,1,"Ratio of cash vs repossession in recovery: keeping on a high level cash recovery in total recovered amount (not included IGH, Alf Group, PS Immo)",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.903000,admin
45,1,"Uspostavljanje DQA baze podataka na dostupnom SQL serveru. Priprema samog okruženja (podešavanje roles&rights, èišæenje, pregled postavki). Kreiranje arhitekture okruženja (relacijske baze podataka, opæe baze podataka, log file-ovi). Prebacivanje daily tablica i procesa u SQL.",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.903000,admin
46,1,Max possible report automation and connecting AroTron collateral IDs to curves,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.903000,admin
47,1,Ratio of cash vs repossession in recovery: keeping on a high level cash recovery in total recovered amount *,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.903000,admin
48,1,"ukupna nplata=8.278.078,45 EUR (+/- 10%)",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.903000,admin
49,1,"Ukupna naplata 8.278.078,45 EUR ",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.903000,admin
50,1,Akcije  targetirane na 5 radnih dana riješiti u zadanom roku,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.903000,admin
51,1,Generalna percepcija kvaliteta posla koji radi OM na nivou kompanije,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.907000,admin
52,1,Active participation in Hidden Hook project and process improvement ,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.907000,admin
53,1,Ratio of cash vs repossession in recovery: keeping on a high level cash recovery in total recovered amount *,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.907000,admin
54,1,Max possible report automation and connecting AroTron collateral lds to curves,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.907000,admin
55,1,15.000.000 HRK prihoda na temelju prodaje/zakupa preuzetih nekretnina u vlasništvu B2K (ukljuèujuæi B2RE i B2P). 40.000.000 HRK prihoda na temelju prodaje/zakupa preuzetih nekretnina iz Solaris portfelja,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.907000,admin
56,1,Akcije  targetirane na 5 radnih dana riješiti u zadanom roku,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.907000,admin
57,1,"ukupna timska naplata treba iznositi 8.278.078,45EUR (+/- 10%)",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.907000,admin
58,1,Ostvarenje oba timska cilja unutar BBP,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.910000,admin
59,1,"Ukupna Timska naplata/cash collected treba iznositi 8.278.078,45 EUR (+/- 10%)",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.910000,admin
60,1,,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.910000,admin
61,1,Max possible report automation and connecting AroTron collateral IDs to curves,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.910000,admin
62,1,"Ubrzanje prosjeènog vremena rješavanja jendostavnih ticketa:
eksternalizacija,  brisanje akcija, promjena statusa predmeta",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.910000,admin
63,1,"Ubrzati prosjeèno vrijeme rješavanja jednostavnih taskov:
Externalizacija 
customer import 
brisanje akcija 
promjena statusa ",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.910000,admin
64,1,,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.910000,admin
65,1,Satisfaction of other colleagues with Accountin depatment,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.910000,admin
66,1,Akcije i faze targetirane na 5 radnih dana I prigovore na 15 kalendarskih dana riješiti u zadanom roku,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.910000,admin
67,1,Akcije i faze targetirane na 5 radnih dana I prigovore na 15 kalendarskih dana riješiti u zadanom roku,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.910000,admin
68,1,"Ukupna naplata = 8.278.078,45 EUR (+/- 10%)",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.913000,admin
69,1,Generalna percepcija kvalitete posla koji radi HR na nivou kompanije.ggggggg,Timski cilj,2020-12-31,1,2020-10-05 10:22:39.580000,ivana.l
70,1,"Ukupna naplata = 8.278.078,45 EUR (+/- 10%)",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.913000,admin
71,1,Active participation in Hiden hook project and process improvement,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.913000,admin
72,1,,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.913000,admin
73,1,Ostvarenje oba timska cilja unutar CDP,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.913000,admin
74,1,"Ukupna naplata 8.278.078,45 EUR ",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.913000,admin
75,1,Max possible report automation,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.913000,admin
76,1,Akcije  targetirane na 5 radnih dana riješiti u zadanom roku,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.917000,admin
77,1,,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.917000,admin
78,1,"Odnos ""cash vs. Repossesion"" u naplati, održavanje viskog stupnja novèane naplate u odnosu na ukupnu naplatu(bez ALF, IGH, P.S. IMMO)",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.917000,admin
79,1,Akcije  targetirane na 5 radnih dana riješiti u zadanom roku,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.917000,admin
80,1,"Ratio of cash vs repossession in recovery: keeping on a high level cash recovery in total recovered amount (Not included IGH, Alf Group, PS Immo)",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.917000,admin
81,1,Ratio of cash vs repossession in recovery: keeping on a high level cash recovery in total recovered amount,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.917000,admin
82,1,Compliance & GDPR risk analiza na razini kompanije i procesa,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.917000,admin
83,1,Ratio of cash vs repossession in recovery: keeping on a high level cash recovery in total recovered amount ,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.920000,admin
84,1,Satisfaction of other colleagues with Accounting department,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.920000,admin
85,1,,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.920000,admin
86,1,Generalna percepcija kvalitete posla koji radi HR na nivou kompanije,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.920000,admin
87,1,"Odnos ""cash vs. repossesion"" u naplati , održavanje visokog stupnja novèane naplate u odnosu na ukupnu naplatu (nisu ukljuèeni IGH, Alf Group, PS Immo)",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.920000,admin
88,1,Ratio of cash vs repossession in recovery: keeping on a high level cash recovery in total recovered amount *,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.920000,admin
89,1,"Ukupna naplata = 8.278.078,45EUR",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.920000,admin
90,1,Active participation in Hiden hook project and process improvement,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.920000,admin
91,1,Akcije i faze targetirane na 5 radnih dana I prigovore na 15 kalendarskih dana riješiti u zadanom roku,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.920000,admin
92,1,Retail unsecured cash collected,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.920000,admin
93,1,Provedba risk analize sa preporukama za postupanje ,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.923000,admin
94,1,Team Business Result/KPI (strategic team goal achievement)----All post must be processed in period of 2 working days,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.923000,admin
95,1,"Ukupna timska naplata = 8.278.078,45 EUR (+/- 10%)",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.923000,admin
96,1,,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.923000,admin
97,1,Ratio of cash vs repossession in recovery: keeping on a high level cash recovery in total recovered amount *,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.923000,admin
98,1,All tasks inside the closing queue cant not be older then 5 working days,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.923000,admin
99,1,"Ukupna naplata = 8.278.078,45 EUR ",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.923000,admin
100,1,Ratio of cash vs repossession in recovery: keeping on a high level cash recovery in total recovered amount *,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.923000,admin
101,1,Max possible report automation and connecting AroTron collateral IDs to curves,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.927000,admin
102,1,,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.927000,admin
103,1,Retail unsecured cash collected,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.927000,admin
104,1,Compliance & GDPR risk analiza na razini kompanije i procesa ,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.927000,admin
105,1,"ukupna timska naplata 8.278.078,45EUR (+/-10%)",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.927000,admin
106,1,Generalna percepcija kvalitete posla koji radi HR na nivou kompanije.,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.927000,admin
107,1,,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.927000,admin
108,1,Ratio of cash vs repossession in recovery: keeping on a high level cash recovery in total recovered amount,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.930000,admin
109,1,Ratio of cash vs repossession in recovery: keeping on a high level cash recovery in total recovered amount,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.930000,admin
110,1,"Ukupna naplata=8.278.078,45 EUR (+/- 10%)",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.930000,admin
111,1,Target naplate na retail unsecuredu,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.930000,admin
112,1,Ratio of cash vs repossession in recovery: keeping on a high level cash recovery in total recovered amount *,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.930000,admin
113,1,"Ukupna naplata = 8.278.078,45 EUR ",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.930000,admin
114,1,All costs should be posted within 2nd working days from invoice receiving,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.930000,admin
115,1,,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.930000,admin
116,1,omjer naplate u novcu u odnosu na naplatu preuzimanjem imovine: ostvarenje naplate u novcu u što vecem omjeru u odnosu na ukupnu naplatu*   ,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.930000,admin
117,1,Ratio of cash vs repossession in recovery: keeping on a high level cash recovery in total recovered amount *,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.930000,admin
118,1,Satisfaction of other colleagues with Accounting department,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.933000,admin
119,1,"AroTRON infrastructure switch to DC
Intention is to switch sites of production and tetst environment with moving AroTRON and Exelisys production servers to A1 IaaS (DC) to gain better performance through resources scalability, and raising a version of the SQL server, and moving AroTRON test servers back to virtual infrastructure which is at B2K premises. With no additional cost for B2K, just reusing current DC resources.",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.933000,admin
120,1,Ratio of cash vs repossession in recovery: keeping on a high level cash recovery in total recovered amount,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.933000,admin
121,1,"Ubrzati prosjeèno vrijeme rješavanja jednostavnih tiketa (eksternalizacija predmeta, customer import, brisanje akcija, promjena statusa itd.)",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.933000,admin
122,1,"Ukupna timska naplata treba biti 8.278.078,45 EUR (+/- 10%)",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.933000,admin
123,1,Retail unsecured cash collected,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.933000,admin
124,1,"AroTRON infrastruktura prelazi u DC.
Namjera je prebaciti lokaciju produkcije i test okoline s premještanjem produkcijskih poslužitelja AroTRON i Exelisys na A1 IaaS (DC) kako bi se postigle bolje performanse kroz skalabilnost resursa i podizanje verzije SQL servera te premještanje AroTRON servera za testiranje natrag u virtualnu infrastrukturu koja nalazi se u prostorijama B2K. Bez dodatnih troškova za B2K, samo ponovno korištenje trenutnih DC izvora.",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.933000,admin
125,1,Ratio of cash vs repossession in recovery: keeping on a high level cash recovery in total recovered amount*,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.933000,admin
126,1,zadovoljstvo drugih odjela prema odjelu Raèunovodstva,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.937000,admin
127,1,Satisfactions of other colleagues with Accounting department,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.937000,admin
128,1,"SOLARIS - definition and implementation of business processes ""AS IS""                                                                             ",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.937000,admin
129,1,Ratio of cash vs repossession in recovery: keeping on a high level cash recovery in total recovered amount *,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.937000,admin
130,1,Satisfaction of other colleagues with Accounting department,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.937000,admin
131,1,,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.937000,admin
132,1,,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.937000,admin
133,1,"Ukupna timska naplata =8.278.078,45 EUR (+/- 10%)",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.940000,admin
134,1,"Ukupna timska naplata= 8.278.078,45 EUR (+/- 10 %)",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.940000,admin
135,1,,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.940000,admin
136,1,,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.940000,admin
137,1,Akcije i faze targetirane na 5 radnih dana I prigovore na 15 kalendarskih dana riješiti u zadanom roku,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.940000,admin
138,1,.,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.940000,admin
139,1,Generalna percepcija kvalitete posla koji radi OM na nivou kompanije,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.940000,admin
140,1,Akcije i faze targetirane na 5 radnih dana I prigovore na 15 kalendarskih dana riješiti u zadanom roku,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.940000,admin
141,1,Satisfaction of other colleagues with Accounting department,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.940000,admin
142,1,"Uspostavljanje DQA baze podataka na dostupnom SQL serveru. Priprema samog okruženja (podešavanje roles&rights, èišæenje, pregled postavki). Kreiranje arhitekture okruženja (relacijske baze podataka, opæe baze podataka, log file-ovi). Prebacivanje daily tablica i procesa u SQL.",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.940000,admin
143,1,"Ratio of cash vs repossession in recovery: 
DESCRIPTION: keeping on a high level cash recovery in total recovered amount*
*Not included IGH, Alf group, PS Immo",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.943000,admin
144,1,Sve akcije tima moraju biti odradene kvalitetno i u predvidenom vremenskom roku ,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.943000,admin
145,1,,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.943000,admin
146,1,"All unmatched payments should be posted within 2nd working days, all return of owerpayments should be within the legal deadline ",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.943000,admin
147,1,"Ratio of cash vs repossession in recovery:
Keeping on a high level cash recovery in total recovered amount",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.943000,admin
148,1,Ratio of cash vs repossession in recovery: keeping on a high level cash recovery in total recovered amount,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.943000,admin
149,1,Puštanje stranice za Sloveniju po uzoru na b2nekretninen.hr zajedno sa Anðelkom Beloševiæem,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.943000,admin
150,1,n/a,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.947000,admin
151,1,"Recovered amount in MKN:
Description: recovered amount from 01.07.-31.12.2020. for SME Team
",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.947000,admin
152,1,,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.947000,admin
153,1,Retail unsecured cash collected,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.947000,admin
154,1,"Ratio of cash vs repossession in recovery: keeping on a high level cash recovery in total recovered amount *
",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.947000,admin
155,1,Odnos izmeðu novèane naplate i preuzimanja nekretnina u naplati: održavanje visoke razine novèane naplate u ukupnoj naplati,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.947000,admin
156,1,"ukupna naplata=8.278.078,45 EUR (+/-10%)",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.947000,admin
157,1,Sva pošta mora biti proslijeðena u dljnji proces u roku 2 dana.,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.947000,admin
158,1,Max possible report automation and connecting AroTron collateral Ids to curves,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.950000,admin
159,1,Rezultati cijelog tima. ,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.950000,admin
160,1,Generalna percepcija kvalitete posla koji radi HR na nivou Kompanije.,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.950000,admin
161,1,,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.950000,admin
162,1,,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.950000,admin
163,1,Akcije i faze targetirane na 5 radnih dana I prigovore na 15 kalendarskih dana riješiti u zadanom roku,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.950000,admin
164,1,"Ukupna naplata 8.278.078,45 EUR ",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.950000,admin
165,1,Akcije i faze targetirane na 5 radnih dana I prigovore na 15 kalendarskih dana riješiti u zadanom roku,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.950000,admin
166,1,Generalna percepcija kvalitete posla koji radi Office management na nivu kompanije,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.950000,admin
167,1,,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.953000,admin
168,1,Generalna percepcija kvalitete posla koji radi HR na nivou kompanije,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.953000,admin
169,1,All physical post must be processed in period of 2 working days,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.953000,admin
170,1,15.000.000 HRK prihoda na temelju prodaje/zakupa preuzetih nekretnina u vlasništvu B2K (ukljuèujuæi B2RE i  B2P). 40.000.000 HRK prihoda na temelju prodaje/zakupa preuzetih nekretnina iz Solaris portfelja,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.953000,admin
171,1,"SOLARIS - definition and implementation of business processes ""AS IS""",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.953000,admin
172,1,,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.953000,admin
173,1,,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.953000,admin
174,1,,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.953000,admin
175,1,All tasks inside the closing queue can not be older then 5 working days,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.957000,admin
176,1,All post must be processed in period of 2 working days ,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.957000,admin
177,1,"Ratio of cash vs repossession in recovery: keeping on a high level cash recovery in total recovered amount * Not included IGH, Alf Group, PS Immo",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.957000,admin
178,1,"Detaljno pregledati svu PM dokumentaciju koja se nalazi na IT share-u te odraditi novu organizaciju po projektima uz detaljnu analizu dokumentacije koja je možda na JIRI, direktno na emailu ili na bilo kojem drugom izvoru ",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.957000,admin
179,1,"Ukupna naplata: 8.278.078,45 EUR (+/- 10%)",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.957000,admin
180,1,Akcije  targetirane na 5 radnih dana riješiti u zadanom roku,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.957000,admin
181,1,n/a,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.957000,admin
182,1,Svi troškovi moraju biti evidentirani u roku od 2 radna dana od primitka raèuna,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.960000,admin
183,1,"SOLARIS - definition and implementation of business processes ""AS IS"" ",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.960000,admin
184,1,All physical post must be processed in period of 2 working days,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.960000,admin
185,1,"Ukupna timska naplata = 8.278.078,45 EUR (+/- 10%)",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.960000,admin
186,1,Satisfaction of other colleagues with Accounting department,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.960000,admin
187,1,Team Business Result/KPI ( strategic team goal achievement ,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.960000,admin
188,1,Retail unsecured cash collected,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.960000,admin
189,1,,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.960000,admin
190,2,Korištenje sustava Pantheon u svakodnevnom poslu,Pantheon,2020-11-30,1,,
225,2,"Priprema i izvedba soft skills radionica; Uvod u komunikacijske vještine, Upravljanje vremenom i Upravljanje stresom do 31.12.2020.",Priprema i izvedba soft skills radionica,2020-12-31,1,,
226,2,"Organizacija interne edukacije iz Arotrona i excela, sastaviti tim internih edukatora i istražiti potrebe za edukacijom do 31.10. organizirati izvedbu edukacija do 31.12.",Organizacija interne edukacije,2020-12-31,1,,
